Order State,Department Name,Product Name,Product Price,Order Item Discount,Order Item Quantity,Order Item Total,Order Profit Per Order,Days for shipment (scheduled),Days for shipping (real),Delivery Status
Queensland,Fitness,Smart watch,327.75,22.94000053,1,304.8099976,22.86000061,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,29.5,1,298.25,134.2100067,4,2,Advance shipping
Queensland,Fitness,Smart watch,327.75,32.77999878,1,294.980011,18.57999992,4,6,Shipping canceled
Victoria,Fitness,Smart watch,327.75,29.5,1,298.25,22.37000084,2,4,Late delivery
Victoria,Fitness,Smart watch,327.75,32.77999878,1,294.980011,17.700000760000002,2,3,Shipping canceled
Queensland,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,90.27999878,2,2,Shipping canceled
Western Australia,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,131.1699982,2,6,Late delivery
Western Australia,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,90.54000092,2,5,Late delivery
New South Wales,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,62.27000046,1,2,Late delivery
New South Wales,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,35,0,1,Late delivery
New South Wales,Fitness,Smart watch,327.75,22.94000053,1,304.8099976,57.29999924,0,1,Shipping canceled
Australian Capital Territory,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,31.47999954,4,2,Advance shipping
South Australia,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,4,2,96,33.59999847,2,6,Late delivery
Queensland,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,3,1,56.99000168,27.36000061,4,4,Shipping on time
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,6.5,1,123.4899979,26.05999947,4,3,Advance shipping
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,6.5,1,123.4899979,35.81000137,4,5,Late delivery
Queensland,Apparel,Summer dresses,215.8200073,10.78999996,1,205.0299988,102.5100021,4,6,Late delivery
Western Australia,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,3.299999952,1,56.68999863,19.84000015,4,3,Advance shipping
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,7.150000095,1,122.8399963,-184.2599945,4,4,Shipping on time
Queensland,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,4.199999809,1,55.79000092,26.78000069,4,6,Late delivery
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9.100000381,1,120.8899994,31.79000092,4,3,Advance shipping
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9.100000381,1,120.8899994,7.6199998859999996,4,4,Shipping on time
South Australia,Apparel,Summer dresses,215.8200073,15.10999966,1,200.7100067,62.8199997,4,2,Advance shipping
New South Wales,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,114.2099991,4,2,Shipping canceled
New South Wales,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,37.16999817,4,5,Late delivery
Queensland,Fitness,Smart watch,327.75,22.94000053,1,304.8099976,-34.75,0,0,Shipping on time
Queensland,Fitness,Smart watch,327.75,29.5,1,298.25,146.1399994,4,5,Late delivery
Queensland,Fitness,Smart watch,327.75,32.77999878,1,294.980011,22.12000084,4,4,Shipping on time
Queensland,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,-447.0499878,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,106.9300003,4,2,Advance shipping
Queensland,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,-459.6700134,4,6,Late delivery
Western Australia,Fitness,Smart watch,327.75,55.72000122,1,272.0299988,111.5299988,2,4,Late delivery
Western Australia,Fitness,Smart watch,327.75,59,1,268.7600098,131.6900024,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,32.77999878,1,294.980011,95.87000275,4,3,Advance shipping
New South Wales,Fitness,Smart watch,327.75,0,1,327.75,-251.3800049,4,4,Shipping on time
New South Wales,Fitness,Smart watch,327.75,3.279999971,1,324.4700012,-237.8399963,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,148.6699982,2,3,Late delivery
Queensland,Fitness,Smart watch,327.75,52.43999863,1,275.3099976,123.8899994,0,1,Late delivery
Queensland,Fitness,Smart watch,327.75,55.72000122,1,272.0299988,133.3000031,0,1,Late delivery
Queensland,Fitness,Smart watch,327.75,59,1,268.7600098,90.83999634,0,1,Late delivery
Queensland,Fitness,Smart watch,327.75,65.55000305,1,262.2000122,-43.79000092,0,1,Shipping canceled
Queensland,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,27,3,152.9700012,-102.0299988,2,6,Late delivery
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,23.98999977,3,95.98000336,44.15000153,2,5,Late delivery
New South Wales,Outdoors,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0.660000026,3,65.30999756,-4.110000134,2,5,Late delivery
Victoria,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,6.400000095,4,153.5599976,51.90000153,2,2,Shipping on time
Western Australia,Outdoors,Team Golf St. Louis Cardinals Putter Grip,24.98999977,4,4,95.95999908,-76.76999664,2,6,Late delivery
New South Wales,Footwear,Nike Women's Tempo Shorts,30,0,5,150,-34.95000076,4,5,Late delivery
New South Wales,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,44.99000168,5,254.9600067,-97.65000153,4,4,Shipping on time
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,2,5,197.9499969,95.01999664,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11.69999981,1,118.2900009,-38.91999817,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11.69999981,1,118.2900009,40.22000122,4,4,Shipping on time
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11.69999981,1,118.2900009,-26.62000084,4,5,Late delivery
Western Australia,Apparel,Men's gala suit,210.8500061,21.09000015,1,189.7700043,85.38999939,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,13,1,116.9899979,54.99000168,4,3,Advance shipping
South Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,13,1,116.9899979,38.61000061,4,2,Advance shipping
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,13,1,116.9899979,33.93000031,4,5,Late delivery
Western Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,-22.87999916,4,6,Late delivery
